Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars)
"Greene County, Tennessee",27515,524,7.7,1.3,7.5,1.6,14.3,1.6,11.5,1.8,14.8,2.1,17.8,1.7,11.6,1.3,9.6,1.4,3.4,0.8,1.9,0.5,43150,1939,60468,3520
"Grundy County, Tennessee",4944,213,10.3,3.2,6.3,1.8,14.6,3,12.8,2.8,15.2,2.5,16.7,3.6,12.1,2.7,7.4,1.6,3.5,1.7,1.1,0.7,43116,4083,53971,3593
"Hamblen County, Tennessee",24490,434,8.6,1.6,5.3,1.2,13.9,2,12.2,2,15.6,2.1,17.8,2,12.4,1.9,10.1,1.6,2.2,0.7,1.9,0.7,43151,3763,58965,3542
"Hamilton County, Tennessee",148296,1005,5.7,0.5,4.5,0.5,10,0.7,10.5,0.7,13.6,0.7,17.8,0.8,12.2,0.7,14.2,0.8,5.3,0.5,6.2,0.5,56606,1426,82225,1792
"Hancock County, Tennessee",2731,147,16.6,4,7.5,2.7,18.7,4.2,12.6,5,9.2,2.4,14,3.7,9.3,3,7.9,2.6,0.8,0.9,3.4,1.8,28234,6061,55123,9604
"Hardeman County, Tennessee",9245,377,8.8,2.1,7.2,1.7,13.6,2.4,12.5,2.2,20.7,2.9,15,2.6,11.1,2.4,8.8,1.7,1.2,0.7,1,0.7,39636,2371,51474,3622
"Hardin County, Tennessee",10087,380,8.8,2.4,6.8,2,12.6,2.6,11.9,2.2,16.7,2.8,18,2.9,11.2,2.3,9.5,1.8,1.9,0.7,2.6,0.8,42285,3085,59777,4279
"Hawkins County, Tennessee",23183,502,7.9,1.3,5.9,1.1,14.1,1.7,11.5,1.5,14.9,1.4,19.5,1.8,11.5,1.6,10.7,1.6,2.2,0.8,1.8,0.6,45318,2577,59997,2806
"Haywood County, Tennessee",7148,253,11.4,2.3,4,1.6,15.1,3.6,15,3,12.5,2.5,20,3.5,12.1,2.5,7.3,1.9,1.2,0.6,1.5,0.8,38994,4087,54029,4727
"Henderson County, Tennessee",10914,340,9,2.4,7.1,2.1,12.8,2.4,13.3,2.4,13.9,2.5,17.4,3.1,11.9,2.3,10.1,2,3.3,1.1,1.4,0.9,44534,3586,57450,3999
"Henry County, Tennessee",13190,459,6.2,1.4,9.7,2.1,12.7,2,15.3,2.3,15.4,2.3,16.7,2.5,8.9,1.9,9.9,2.1,3.6,1.3,1.4,0.7,41037,2242,58142,4968
"Hickman County, Tennessee",8675,349,5.1,1.8,5.8,1.8,10.5,2.3,11.3,2.9,20.3,3.2,20,3.5,10.2,2.6,10.7,2.5,3.9,1.3,2.2,1.2,47457,3729,73071,12506
"Houston County, Tennessee",2919,146,10.1,3.1,6.5,2.1,12.4,3.3,7.6,2.3,21.2,4.6,16.8,4,11.1,2.9,8.6,2.4,3.8,1.9,1.9,1.5,43521,4031,59969,8411
"Humphreys County, Tennessee",6869,226,5.7,1.8,5.8,2.2,10.2,2.4,11.8,3.2,19.7,3.9,18.5,3.2,11.7,2.5,11,2.4,3.5,1.6,2,1.3,48411,2172,62620,4777
"Jackson County, Tennessee",4525,202,8.6,2.3,8.1,2.2,19.2,4.5,13.1,3.9,13,2.6,17,3.4,11.1,3,6,2.2,2,1.1,1.7,1.1,35880,5111,50212,3757
"Jefferson County, Tennessee",20038,511,4.2,0.9,4.8,1,12.4,1.9,10.1,1.8,16.3,1.8,19.7,2.3,12.8,2,13.2,2,3.8,0.8,2.8,0.9,51899,2603,67357,3112
"Johnson County, Tennessee",6979,324,11.4,2.6,7.7,2.1,14.3,3,13.5,3,17.7,3.2,14.2,3,10.4,2.5,5.6,1.9,3.2,1.6,1.9,1.6,38090,3518,56952,8352
"Knox County, Tennessee",189536,1357,6.4,0.5,4.5,0.4,9.5,0.5,9.3,0.5,12.6,0.6,18,0.7,13.1,0.6,14.6,0.6,5.7,0.5,6.3,0.4,59250,1011,83142,1435
"Lake County, Tennessee",2167,201,21.6,10.6,8.6,3.6,11,10.6,10.2,3.8,11.1,8.1,14.4,3.8,12.1,4.9,5.3,7.1,1.2,1.5,4.4,3.1,34230,19077,57129,19598
"Lauderdale County, Tennessee",9609,261,10.4,1.9,6.5,1.7,11,2,14.7,2.3,15.6,2.5,18.2,2.1,10.4,1.9,9.2,2,3.2,1.2,0.7,0.5,41905,2003,53866,3138
"Lawrence County, Tennessee",16140,314,8.5,1.6,7.4,1.5,12.9,1.6,11.8,1.6,16,2.1,19.2,1.9,10.4,1.4,9.8,1.3,1.7,0.6,2.3,0.8,43734,1949,58722,4789
"Lewis County, Tennessee",4837,232,8.3,3.1,10.5,4.2,11.2,3.7,17.3,5.1,13.6,4,14.7,4.2,12.4,4.1,8.1,2.6,2.6,2.3,1.3,0.8,36977,4436,53077,5141
"Lincoln County, Tennessee",13788,352,5.6,1.4,5.4,1.3,9.5,1.9,10,1.8,15.7,1.9,18,2.6,13.6,2.5,14.4,2.5,4.7,1.1,3,1.2,53923,2945,70572,4524
"Loudon County, Tennessee",20967,471,5.6,1.5,4.2,1.1,6.4,1.4,10,1.7,12.6,1.9,21.3,2.5,13.4,1.7,15.5,2.1,5.3,1.1,5.8,1.4,61664,2978,83912,5465
"McMinn County, Tennessee",21147,441,7.5,1.3,5.9,1.1,12.3,1.8,12.4,1.5,14.9,2.2,19.4,2.1,10.2,1.5,10.9,1.5,4.2,1.4,2.3,0.9,46872,3205,63007,3737
"McNairy County, Tennessee",9875,235,7.5,1.5,7.5,1.8,16.3,1.9,14.3,2.5,12.6,1.9,20.1,2.3,9.8,1.7,7.8,1.8,1.6,0.6,2.6,1,40327,2877,54136,2979
"Macon County, Tennessee",9143,286,7.1,2.1,6.4,2,12.1,2.2,18.5,4,13.9,2.6,12.5,2.9,13.9,2.4,9.4,2.6,4.5,2,1.6,0.8,38080,4102,59385,4545
"Madison County, Tennessee",38266,577,10,1.5,5.5,0.9,11.6,1.2,10,1.2,14.5,1.6,18.6,1.6,11.5,1.3,11.5,1.2,3.4,0.6,3.4,0.7,48396,1963,65348,2522
"Marion County, Tennessee",11438,314,9.7,2.3,5.1,1.7,10.8,1.8,11.1,2.2,13.2,2.2,21.4,2.8,11.5,1.9,10.5,1.9,4.5,1.6,2.2,0.8,50059,2829,63307,3600
"Marshall County, Tennessee",12436,274,6.1,1.6,5.4,1.5,8,1.6,11.8,2.5,15.2,2.6,19,2.7,14,2.3,13.9,2.3,3.8,1.4,2.8,1.5,55299,4747,68185,4402
"Maury County, Tennessee",35163,462,4.6,1,3.8,0.7,9.6,1.4,10.3,1.2,13.9,1.3,19.6,1.7,14,1.5,13.9,1.5,6.1,1.2,4.2,0.9,60567,2812,75743,2710
"Meigs County, Tennessee",5079,184,7.6,2.1,7.2,2.1,10.5,2.4,9.6,2.1,14.4,3.5,22.8,3.9,13.3,3.3,10.2,2.4,2.6,1.3,1.8,1,50733,4588,59534,4212
"Monroe County, Tennessee",18639,417,7.4,1.8,7.3,1.7,13.2,2.5,12.8,2.1,13,1.9,19.9,2.4,12.6,1.9,9.4,1.6,2.9,0.9,1.5,0.6,45576,4265,58603,3684
"Montgomery County, Tennessee",74606,835,5.9,0.8,3.1,0.6,7.3,0.8,9.7,1.1,14.5,1.3,19.8,1.5,15.8,1.3,15.5,1,4.5,0.6,3.8,0.5,60878,1557,74548,1668
"Moore County, Tennessee",2599,158,4.5,2.6,5,2.8,11.4,4,8,3.4,10.4,4.4,22.2,5.9,15.1,4.4,13.5,4.8,6,2.7,3.7,2.1,63762,3803,75772,8442
"Morgan County, Tennessee",7524,341,8.3,2,7.4,2,11,2,12.9,2.7,20.1,4.2,14.4,2.6,10.8,2.3,10.9,2.7,3,1.2,1.2,0.7,41701,2451,56412,4305
"Obion County, Tennessee",12633,272,8,1.5,8.1,1.6,14.9,1.9,13.3,1.8,16.5,2.1,16.9,2.3,11.4,1.7,7.4,1.5,1.6,0.7,1.7,0.6,39985,2217,53667,2845
"Overton County, Tennessee",8969,240,8.4,2,11.5,2.7,14,2.9,13.2,2.3,13.6,2.4,18.9,2.9,7.1,1.8,8.4,1.8,2,0.9,2.7,1.8,36478,2428,53700,5003
"Perry County, Tennessee",2929,233,11.4,4.9,6,2.5,10,3.2,11.6,3.5,12.1,3.8,22.4,5.3,14.6,4.8,6,2.8,1.3,1.2,4.4,2.8,48716,5826,71349,16947
"Pickett County, Tennessee",2211,231,11.7,4,12.2,4.6,8.9,3.8,9,4.7,17,5.1,17.5,5.6,5,3,10.9,4.2,3.7,2.8,4.1,3.2,43125,6804,58199,9606
"Polk County, Tennessee",7448,248,6.6,2.1,4.4,1.6,12.8,2.4,14.3,2.7,15.7,2.8,17.5,2.9,12.3,2.5,9.7,2.7,2.3,1.1,4.4,2.1,45326,2869,66271,6948
"Putnam County, Tennessee",31777,474,7.7,1.3,6.2,1.1,14.1,2,12.3,1.4,14.7,1.6,16.8,1.6,10.3,1.2,10.8,1.4,3.8,0.8,3.1,0.7,45160,2056,61582,2693
"Rhea County, Tennessee",12324,389,9.3,2.2,4.9,1.1,12,2.1,11.4,2.4,16.9,2.8,16.1,2,12.2,2.1,11.1,2.4,4.1,1.7,2,0.8,46096,2734,61694,3765
"Roane County, Tennessee",21596,522,6.6,1.5,5.8,1.5,11.7,2.2,8.4,1.6,13.3,2.2,16.7,2.1,13.4,1.9,13,1.8,6.5,1.2,4.4,1.2,55578,4114,77128,5134
"Robertson County, Tennessee",26122,416,4.2,0.9,3.3,0.9,7.5,1.2,8.7,1.1,13.2,1.9,20.4,2,15.1,1.6,16.5,1.5,6.8,1.3,4.2,0.8,66088,2527,81857,3163
"Rutherford County, Tennessee",115249,791,3.6,0.5,2.7,0.5,6.5,0.6,8,0.8,14,1.2,20.8,1.1,15.2,1,18.1,1.1,6.6,0.6,4.5,0.5,68718,1870,85132,2374
"Scott County, Tennessee",8625,240,11.8,2.8,6.9,2.8,16.2,3,12.2,2.6,15,4.1,21.2,3.1,7.9,2,6.7,2,1.1,0.9,0.9,0.9,37135,3603,48573,4683
"Sequatchie County, Tennessee",5539,231,7,3.3,6.1,2.2,15.7,3.3,12.2,3.6,12,3.3,17.7,3.5,13.9,2.6,11,2.8,3.3,1.6,1,0.7,44217,6457,58397,3861
"Sevier County, Tennessee",37993,797,4.9,0.9,5,1.1,10.8,1.2,12.1,1.3,15.6,1.6,21.4,1.8,11.3,1.4,11.7,1.5,3.1,0.7,4,1.2,51734,2485,68149,3590
"Shelby County, Tennessee",356607,1879,8.6,0.5,5.8,0.3,10.4,0.5,10.3,0.5,13.1,0.6,17,0.6,10.8,0.5,12.4,0.5,5.1,0.3,6.5,0.4,52092,736,78897,1632
"Smith County, Tennessee",7688,200,6.2,1.7,5,1.6,10.7,1.9,12.2,2.5,18.1,2.8,15.5,2.8,13.2,2.1,12.2,2.2,3.3,1.2,3.6,1.5,48611,2085,74151,14785
"Stewart County, Tennessee",5226,294,5.3,1.8,2.5,1.1,14,3.2,10.6,2.9,17.9,3.6,18.9,3.7,14.9,3.8,9.4,2.4,4.4,2.1,2.1,1.5,49537,6595,62454,4771
"Sullivan County, Tennessee",66645,728,6.8,0.7,5.4,0.6,12.4,1,12,1,15.4,1.2,18.4,1.1,11.6,0.8,10.6,0.9,3.9,0.5,3.5,0.5,47438,1841,67009,1997
"Sumner County, Tennessee",68654,626,4.3,0.7,3.1,0.5,7,0.8,7.4,0.8,12.5,0.8,18.9,1.2,15.3,1.2,18.7,1.1,6.3,0.7,6.4,0.7,69878,1839,90612,2647
"Tipton County, Tennessee",21624,387,5.6,1.4,3.6,1.1,8,1.6,9.3,1.5,14.3,1.7,19.2,2.1,14.4,1.4,16.5,1.9,5.3,1.2,3.7,1,62474,2719,77232,3478
"Trousdale County, Tennessee",3398,210,3.8,2.7,5.9,3.2,10.6,4.4,6.7,3.5,16.9,5.7,23.2,7.4,16.4,7,12.1,3.6,3.1,2.1,1.4,1.4,56981,4906,65182,5436
"Unicoi County, Tennessee",7683,272,11.2,3.4,7.2,2.4,11.9,2.8,11.4,2.7,16.6,2.9,16.7,3,13.8,3.4,7.8,1.9,2.1,1.5,1.4,0.9,44526,3011,53485,3325
"Union County, Tennessee",7463,303,6.9,1.7,6.5,1.6,11.6,2.6,12.3,2.6,15.6,3,21.2,3,12.4,2.2,8.1,2.3,3.5,1.7,2,1,45143,4864,61952,6253
"Van Buren County, Tennessee",2242,110,6.2,2.8,4.3,2.4,16,4.7,12.9,5.2,13.5,3.9,19,4.1,15.2,6.2,8.9,3.4,3,2.2,1,1.1,47576,10303,56789,5601
"Warren County, Tennessee",15515,409,7.9,1.6,8,1.5,12.4,1.8,10.7,1.9,18,2.3,19.7,2.3,9.2,1.4,9.1,1.8,2.3,0.8,2.7,0.9,42668,2310,58710,4148
"Washington County, Tennessee",54603,696,7.5,1.1,5.8,1,12.7,1.5,11,1.1,13.9,1.6,18,1.5,10.9,1.1,11.7,1.2,4.5,0.8,4.1,0.6,48923,2406,69411,2418
"Wayne County, Tennessee",5737,300,9.6,2.6,6.9,2.7,13.1,2.9,11.9,3.1,15.3,3.3,18.6,3.8,10.5,2.5,10,2.7,3.1,1.6,0.9,0.7,42206,2878,57477,5978
"Weakley County, Tennessee",13563,361,9.3,1.4,6.9,1.3,14.3,1.8,12.2,1.8,14.6,2,20.7,2.1,10.6,1.6,8,1.3,1.8,0.6,1.5,0.7,41488,2731,55161,4085
"White County, Tennessee",10219,352,7.1,1.7,6.8,2,12.8,2.3,12,2,17.3,3.1,19.9,3.2,12.6,2.5,6.4,1.5,3,1.2,2,1.1,44282,4517,59630,6396
"Williamson County, Tennessee",81041,600,2.5,0.5,1.4,0.4,4.1,0.8,3.6,0.7,7.4,0.7,13.4,1,11.3,1.1,21.9,1.7,13.2,0.9,21.2,1.2,111196,3044,149051,3982
"Wilson County, Tennessee",51348,636,4.2,0.8,2.9,0.8,5.5,1,6.3,0.9,10.5,1.1,17.3,1.4,15.7,1.7,21.2,1.4,7.9,1,8.4,1,78962,1907,99095,4383
"Anderson County, Texas",16555,567,4.7,1.2,7.3,1.6,11.8,2.2,11.3,2.2,18.6,2.8,19.3,2.4,11.6,1.9,10.6,2.1,2.6,1,2.3,0.9,45847,2728,61714,5142
"Andrews County, Texas",5649,215,6.1,2.3,3.2,1.8,8.4,3.1,6.6,2.4,10.7,4,14.7,3.4,16.1,4.6,17.6,4,8.2,2.3,8.3,2.9,75147,9031,94468,9531
"Angelina County, Texas",31368,497,5.9,1.1,5.1,0.9,13.6,1.9,12.4,1.5,13.3,1.8,18.9,1.6,12.5,1.8,11.1,1.5,4.6,0.9,2.6,0.6,49684,2450,64700,2239
"Aransas County, Texas",9917,582,9.9,2.8,5,1.9,10.6,2.9,12.8,3.1,12.6,2.5,16,3.5,8.5,2.2,13.5,3.1,5.2,2.3,6,1.5,47924,8481,76672,5531
"Archer County, Texas",3513,120,4.8,1.8,5.7,2.3,12.1,3,10,3.3,8.8,2.4,16.1,2.9,13.1,2.4,17.6,3.4,6,2.2,5.8,2.3,63958,5369,83217,8737
"Armstrong County, Texas",720,65,2.8,1.8,2.5,2.1,5.1,4.7,7.8,5,7.9,3.8,28.6,8.3,11.7,4.5,21.9,7.6,6.8,4.3,4.9,3.6,69386,5604,85943,8399
"Atascosa County, Texas",15798,403,5.5,1.5,2.4,0.8,11.9,2.2,10.3,1.9,12,2.3,20.2,3.2,13.9,2.5,13.6,2.4,4.9,1.3,5.3,1.5,59251,2620,76542,4516
"Austin County, Texas",11569,310,5.8,2,3.5,1.3,11.1,2.6,7.6,2,11.4,1.9,16.7,2.5,14.3,2.6,19.2,2.1,4.1,0.9,6.2,1.8,64468,4347,79591,3688
"Bailey County, Texas",2056,2040,5.5,6.4,8.1,19.7,4,13.5,14,21.8,14.6,13,24,23.9,16.1,32.5,6.2,12.5,5.2,9.7,2.4,4.8,55038,35559,67987,40453
"Bandera County, Texas",8697,327,3.6,1.3,5.3,2.1,10.5,2.7,7.5,2.4,10.9,2.5,22,3.7,14.6,3,14.3,2.7,5.3,1.9,6,1.8,60361,4410,79750,6541
"Bastrop County, Texas",26173,608,4.7,1.3,3.8,1.1,8.2,1.5,7.5,1.6,12.6,1.8,15.6,2,15,2.3,19.2,2.5,8.2,1.5,5.2,1.2,71820,4451,85157,4320
"Baylor County, Texas",1621,105,3.5,2,12.1,5.1,16.4,6.1,10.2,5.1,14.7,4.9,13.6,4.9,13.8,5.4,10.9,5.4,0.7,0.9,4.1,3,40946,6391,57449,8582
"Bee County, Texas",8499,450,9.5,2.7,4.4,1.7,15.4,3.6,10.7,2.8,13.7,3.2,18.8,3.5,9.8,2.3,10.2,2.6,5,1.8,2.4,1,45287,5775,62450,4925
"Bell County, Texas",125747,1067,6.3,0.6,4.2,0.5,9.6,0.7,10.6,0.8,14,0.9,20.1,1,13.1,0.8,14.4,1,4,0.4,3.7,0.4,54987,1589,72294,1639
"Bexar County, Texas",644561,2058,7,0.3,4.2,0.2,9,0.3,9.6,0.3,13.1,0.3,18.8,0.4,12.5,0.3,14.2,0.4,5.8,0.2,5.6,0.3,58288,607,79704,924
"Blanco County, Texas",4665,190,3.6,1.7,6.1,2.6,7.2,2.5,7.1,2.3,13.6,3.7,17.7,3.8,14.1,4.1,18.8,4.2,6.3,2.2,5.6,2,70397,6156,97625,14704
"Borden County, Texas",223,43,2.2,3.1,4.5,4.6,3.6,3.5,8.1,6.4,4.5,4.1,26,9.8,4.9,3.8,31.4,11.4,10.3,9,4.5,3,83281,34136,98135,16573
"Bosque County, Texas",7255,242,4.1,1.3,3.5,1,10,1.8,11.1,2.4,13.3,2,21.6,3.2,12.9,2.3,16.4,2.9,3.5,1,3.5,1.3,57337,3178,72099,3876
"Bowie County, Texas",34283,588,9.6,1.3,5.6,0.9,10.9,1.5,9.2,1.2,12.9,1.4,17.6,1.7,12.4,1.2,13.5,1.5,4,0.7,4.3,0.8,51796,1960,72639,3657
"Brazoria County, Texas",124184,1314,3.3,0.5,2.7,0.4,6,0.7,6.9,0.7,9.4,0.8,16.8,1.3,14.5,1,19.6,1.2,10.5,1,10.3,0.9,83325,3025,103405,2664
"Brazos County, Texas",81514,1093,11.7,1,5.5,0.7,10.6,1,8.9,0.9,13.1,1.2,16.2,1.2,10.7,0.7,12.3,0.9,4.8,0.5,6.2,0.7,50289,1413,74637,2019
"Brewster County, Texas",4292,240,8.5,2.8,11.3,4.6,10.5,4.3,5.7,2.3,19.8,4.6,15.2,3.6,10.6,3.9,9.3,3,5.4,3.2,3.7,2.7,45296,6170,61876,6871
"Briscoe County, Texas",588,71,7.5,4.1,7.5,6.5,17.5,6,10.5,3.9,18,7.2,17.5,6.4,7.8,4,9.5,4.4,2.7,1.9,1.4,1.4,37875,6136,53553,6923
"Brooks County, Texas",2475,293,22.7,8.9,12.8,7.1,14.3,5.7,18.7,6.1,4.7,2.7,10.8,4.1,6.6,4.3,9,4.8,0.4,0.5,0,1.8,25058,4795,37307,6595
"Brown County, Texas",14614,421,6.5,1.4,3.6,1.1,14.1,2.1,12.4,2,14,2,19.2,2.4,11,1.5,11.9,1.7,4.6,1.1,2.8,0.7,49180,4087,67938,4243
"Burleson County, Texas",6931,276,4.8,1.6,5.4,2,7.2,2.4,7.9,2.7,13.9,2.9,22.1,4.7,13.1,2.6,15.6,3.4,6.5,2,3.4,1.4,60058,8744,80669,7838
"Burnet County, Texas",17384,615,3.3,1.1,2.9,1,7.9,1.7,8.3,1.8,16.6,2.7,20.8,2.7,14,2.2,15.3,2.3,5.1,1.2,5.8,1.2,59919,2935,82742,4470
"Caldwell County, Texas",13774,350,6.2,1.7,3.8,1,9,2.3,11.5,2.4,11.4,1.9,21.5,2.9,15.1,2.4,12.3,2.6,6,1.6,3.2,0.9,59846,4581,74856,4052
"Calhoun County, Texas",8027,309,4.4,1.6,2.7,1.3,7.9,2.1,13.6,3.4,16.4,3.9,21.2,4,12.5,3.3,13.4,2.9,4.4,1.7,3.4,1.3,57170,6165,71336,4691
"Callahan County, Texas",5372,191,5.7,1.9,3.2,1.3,12.2,2.4,12.3,3.2,14.6,2.9,22.2,3.5,13.2,2.9,9.8,2.2,4.2,1.5,2.4,1.2,51955,4452,64560,4414
"Cameron County, Texas",126968,1167,10.4,0.7,7.7,0.7,13.7,0.9,11.9,0.8,13.3,0.9,17.9,1.1,10.2,0.8,9.6,0.7,3,0.4,2.3,0.3,41200,1153,57253,1302
"Camp County, Texas",4460,225,9,3.1,9.3,3.5,9.7,3.3,11.3,2.5,11,3.5,16.2,4.3,17.9,4,9.3,2.8,3.1,1.8,3.1,2,49539,6103,63245,6166
"Carson County, Texas",2332,96,2.8,1.3,2.8,1.5,6,2.7,10.7,3.9,8.7,3.2,20.5,5.1,13,3.1,20.8,4.3,9.6,3.1,5.1,2.1,74246,3692,88414,7855
"Cass County, Texas",11962,356,7.6,1.7,6.4,1.5,13.4,2.5,10.7,2.4,14.5,2.4,19.1,2.4,11,2.2,11.1,2.1,3.5,1.2,2.7,1.2,47539,3408,62065,4330
"Castro County, Texas",2557,127,10,4.4,3.8,1.9,11,4.5,10.1,3.3,15.4,4.9,18.6,4.7,13.7,4.1,8.4,2.5,6.1,3.4,3.1,2.5,49900,4131,64332,7732
"Chambers County, Texas",14266,398,4.3,1.6,6,2.5,7.3,2,6.3,1.7,9.1,2.7,9.8,2.6,8.5,2.2,21.2,3.1,14.8,2.8,12.6,2.7,95989,11681,109946,8332
"Cherokee County, Texas",18540,351,6.1,1.3,4.6,1,11.7,1.8,12.9,2.2,14.6,2.1,17.7,2.6,11.4,2,13.4,2.2,5.3,1.8,2.4,0.7,50199,3975,66658,3648
"Childress County, Texas",2308,183,8.4,4.5,2.8,2.3,9.7,5,16.2,7,17.5,6.2,13.9,5.1,13.9,5.4,7.4,3.5,8.1,4.2,2,1.6,43564,6365,65265,7018
"Clay County, Texas",4159,179,4.5,1.7,5.1,1.9,11.4,2.6,7.3,1.7,13,2.8,16.4,3,14.8,3,17.9,2.6,4.6,1.7,5.1,1.8,63125,5946,75727,4890
"Cochran County, Texas",1026,69,10.8,3.5,10.5,4.5,13.8,4.4,8.6,3.6,15.9,5.2,12.3,4.3,11.4,3.4,9.5,3.8,6.4,3.6,0.8,0.9,41000,6032,56739,6367
"Coke County, Texas",1625,93,4.1,2,10.9,5.7,12.7,3.5,9.2,3.6,16.9,4.5,17.3,3.6,12.9,3.9,10,2.9,1.1,0.9,4.9,4.2,45072,8128,60146,8489
"Coleman County, Texas",3492,222,7.6,2.9,4.1,2.4,11.7,3.9,9.4,3.3,20,5,21.8,4.2,10.7,3.1,8.6,2.6,2,1.1,4.2,2.1,46948,4117,66834,9330
"Collin County, Texas",353491,1502,3.3,0.3,1.5,0.2,4,0.4,5.1,0.3,8.4,0.5,14.1,0.5,13.1,0.5,21,0.6,13,0.5,16.3,0.5,100541,1186,128307,1804
"Collingsworth County, Texas",1029,90,10.3,5.3,11.3,4.3,12.2,5.3,8.6,4.5,12.4,5.1,23,6.7,5.4,2.6,8.6,3.5,4.4,3.4,3.7,2.2,41202,5956,66445,14865
"Colorado County, Texas",7442,334,6.6,2.3,4.2,1.7,10.5,2.6,11.3,3.2,14,3.1,18.1,3.9,11.9,2.5,12.5,2.8,7,2.2,3.9,1.5,52663,3733,74130,7206
"Comal County, Texas",54586,612,4.1,0.7,2.6,0.6,5.2,0.7,7.1,1,11.4,1.3,16.1,1.3,15.2,1.3,17.3,1.4,8.7,1,12.3,1.1,80781,2651,105813,2644
"Comanche County, Texas",5416,227,7.4,2.1,4,1.4,13.2,2.7,8.4,2.2,12,2.4,22.8,3.2,14.5,3,12.4,2.8,2.5,1.4,2.8,1.2,54889,3908,65366,3982
"Concho County, Texas",876,180,5.8,2.6,5.4,3.9,9.4,5,16.3,6.2,10.8,4.3,16.2,5.6,15.9,7.6,13.6,5.2,3.1,2.3,3.5,3.4,53333,11731,68447,11292
"Cooke County, Texas",15530,268,3.5,1,4.3,1.1,8,1.7,9.5,1.7,15.8,2.1,16.9,2,13.9,2.1,15.7,2.2,6.1,1.3,6.4,1.6,62733,4416,83239,4394
"Coryell County, Texas",22324,577,4.9,1,4.6,1.2,8.1,1.5,13.2,1.8,14.6,1.8,21.2,2.2,13.8,1.8,13.3,1.5,4.5,0.8,1.9,0.5,54712,2277,67543,3126
"Cottle County, Texas",703,102,12.8,7.4,7.1,4.7,15.5,8.5,11,5.1,12.9,4.7,19.2,8,6,2.8,6.3,3.7,3.8,2.6,5.4,3.9,40250,11139,55903,9919
"Crane County, Texas",1500,79,5.3,2.6,1.5,1.5,15.9,10.9,9.1,4.4,9.5,5.1,19.9,7.3,6.7,3.6,21.3,8.1,6.6,2.9,4.1,3,54596,17024,76800,11383
"Crockett County, Texas",1394,158,3,3.5,7.7,5.8,16.4,8.9,10.7,6.8,13.6,7.9,25.1,9.7,11.9,6.9,7.5,4.5,4.1,3.9,0,3.2,46695,9216,54200,7100
"Crosby County, Texas",2107,105,11.6,3.8,5.1,1.9,12.7,3,12.1,3.7,15.4,3.8,17.2,3.7,13.8,3.7,7.2,2.3,1.5,1,3.5,1.8,42470,4955,63424,13374
"Culberson County, Texas",668,179,9.4,5.9,6.1,4.5,23.5,9.3,11.1,5.7,8.8,6.2,21,10.1,11.8,9.8,8.2,5.4,0,6.5,0,6.5,34853,11780,44721,5731
"Dallam County, Texas",2344,199,1.6,1.2,2.9,2.5,14,5.8,6.2,2.8,15.9,6,27.3,7.1,16.6,5.4,8.8,4.5,3.5,2.6,3.4,2.2,58956,4219,85157,20605
"Dallas County, Texas",945996,2684,5.6,0.2,3.5,0.2,8.1,0.3,9.4,0.3,13.6,0.3,18.8,0.4,12.7,0.3,14.4,0.3,6,0.2,8,0.2,61870,471,90748,793
"Dawson County, Texas",4430,172,8.3,2.7,8,2.6,22.6,5,7.8,2.3,12.2,3.7,15.2,3.2,8.7,2.3,10.9,3.2,2.6,1.3,3.6,1.6,40469,9069,62021,6634
"Deaf Smith County, Texas",6053,215,4.9,1.5,3.9,1.7,8.9,2.5,13.2,3.7,19.2,4.3,17.9,3.5,13.8,2.9,12.7,2.8,3.4,1.8,2,1,49790,4707,63338,3780
"Delta County, Texas",2066,189,6.4,2.2,10,5.3,6.1,2.4,10.6,4.5,17,5.5,15,4.3,11.3,4.2,13.6,4.9,5.4,2.8,4.7,3,49868,10983,70079,7838
"Denton County, Texas",300585,1176,3.1,0.3,1.9,0.2,4.4,0.3,6.1,0.4,9.7,0.5,16.1,0.6,13.1,0.6,19.6,0.7,12.1,0.5,13.8,0.5,90354,1531,117024,1507
